"","CODE","KEY","TỈNH.THÀNH","NHIỄM","NHIỄM.HÔM.NAY","KHỎI","TỬ.VONG","TỔNG","ENGLISH","DÂN.SỐ..người.","DIỆN.TÍCH..km2.","MÀU","SỐ.NGÀY.KHÔNG.CÓ.CA.NHIỄM.MỚI","NHIỄM.HÔM.NAY.NHẬP.CẢNH","MIỀN","Color","Min","Max","Hex","X","X.1","X.2","X.3","X.4","X.5","X.6"
"1",37,"83","Bến Tre",68,46,NA,NA,68,"Ben Tre","1.288.463",2.395,2,NA,"","Nam",1,"1",50,"FFC4AA",NA,NA,NA,NA,NA,NA,NA
"2",22,"92","Cần Thơ",13,NA,NA,NA,13,"Can Tho","1.235.171",1.439,1,NA,"","Nam",2,"51",100,"FF8A66",NA,NA,NA,NA,NA,NA,NA
"3",35,"58","Ninh Thuận",10,4,NA,NA,10,"Ninh Thuan","590.467",3.355,1,NA,"","Trung",3,"101",200,"FF392B",NA,NA,NA,NA,NA,NA,NA
"4",47,"94","Sóc Trăng",19,1,NA,NA,19,"Soc Trang","1.199.653",3.312,1,NA,"","Nam",4,"201",500,"B71525",NA,NA,NA,NA,NA,NA,NA
"5",53,"14","Sơn La",1,NA,NA,NA,1,"Son La","1.248.415",14.124,1,57,"0,00008%","Bắc",5,"501",1000,"7A0826",NA,NA,NA,NA,NA,NA,NA
"6",61,"8","Tuyên Quang",1,NA,NA,NA,1,"Tuyen Quang","784.811",5.868,1,58,"0,00013%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"7",48,"15","Yên Bái",1,NA,NA,NA,1,"Yen Bai","821.030",6.888,1,78,"0,00012%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"8",42,"91","Kiên Giang",9,2,NA,NA,9,"Kien Giang","1.723.067",6.349,1,NA,"","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"9",50,"70","Bình Phước",30,NA,NA,NA,30,"Binh Phuoc","994.679",6.877,1,NA,"","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"10",27,"45","Quảng Trị",3,NA,NA,NA,3,"Quang Tri","632.375",4.74,1,64,"0,00047%","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"11",64,"19","Thái Nguyên",3,NA,NA,NA,3,"Thai Nguyen","1.286.751",3.536,1,49,"0,00023%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"12",8,"95","Bạc Liêu",12,NA,NA,NA,12,"Bac Lieu","907.236",2.669,1,2,"0,00132%","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"13",28,"64","Gia Lai",8,NA,NA,NA,8,"Gia Lai","1.513.847",15.511,1,5,"0,00053%","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"14",39,"10","Lào Cai",6,1,NA,NA,6,"Lao Cai","730.420",6.364,1,NA,"","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"15",11,"37","Ninh Bình",4,NA,NA,NA,4,"Ninh Binh","982.487",1.387,1,52,"0,00041%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"16",3,"49","Quảng Nam",5,NA,NA,NA,5,"Quang Nam","1.495.812",10.575,1,3,"0,00033%","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"17",60,"vn-307","Bắc Kạn",5,NA,NA,NA,5,"Bac Kan","313.905",4.86,1,14,"","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"18",49,"68","Lâm Đồng",13,1,NA,NA,13,"Lam Dong","1.296.606",9.783,1,NA,"","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"19",38,"25","Phú Thọ",5,NA,NA,NA,5,"Phu Tho","1.463.726",3.535,1,31,"0,00034%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"20",9,"22","Quảng Ninh",5,NA,NA,NA,5,"Quang Ninh","1.320.324",6.178,1,16,"0,00038%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"21",16,"38","Thanh Hóa",18,NA,NA,NA,18,"Thanh Hoa","3.640.128",11.115,1,NA,"0,00049%","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"22",34,"66","Đăk Lăk",7,NA,NA,NA,7,"Dak Lak","1.869.322",13.031,1,7,"0,00037%","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"23",40,"46","Thừa Thiên Huế",10,3,NA,NA,10,"Thua Thien Hue","1.128.620",5.048,1,NA,"0,00089%","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"24",18,"36","Nam Định",10,NA,NA,NA,10,"Nam Dinh","1.780.393",1.668,1,NA,"0,00056%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"25",25,"84","Trà Vinh",38,NA,NA,NA,38,"Tra Vinh","1.009.168",2.358,1,NA,"0,00377%","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"26",17,"17","Hòa Bình",12,NA,NA,NA,12,"Hoa Binh","854.131",4.591,1,16,"0,00140%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"27",21,"72","Tây Ninh",32,4,NA,NA,32,"Tay Ninh","1.169.165",4.041,1,NA,"0,00274%","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"28",7,"77","Bà Rịa - Vũng Tàu",84,19,NA,NA,84,"Ba Ria Vung Tau","1.148.313",1.981,2,NA,"","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"29",44,"52","Bình Định",22,1,NA,NA,22,"Binh Dinh","1.486.918",6.066,1,NA,"","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"30",23,"60","Bình Thuận",19,NA,NA,NA,19,"Binh Thuan","1.230.808",7.813,1,NA,"","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"31",26,"86","Vĩnh Long",192,17,NA,NA,192,"Vinh Long","1.022.791",1.475,3,NA,"","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"32",32,"31","Hải Phòng",17,NA,NA,NA,17,"Hai Phong","1.837.173",1.562,1,3,"0,00093%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"33",6,"56","Khánh Hòa",259,44,NA,NA,259,"Khanh Hoa","1.231.107",5.138,4,NA,"","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"34",10,"34","Thái Bình",30,NA,NA,NA,30,"Thai Binh","1.860.447",1.571,1,4,"0,00161%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"35",58,"89","An Giang",96,2,NA,NA,96,"An Giang","1.908.352",3.537,2,NA,"","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"36",24,"35","Hà Nam",52,NA,NA,NA,52,"Ha Nam","852.800",861,2,4,"0,00610%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"37",2,"30","Hải Dương",51,NA,NA,NA,51,"Hai Duong","1.705.059",1.668,2,34,"0,00299%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"38",59,"11","Điện Biên",58,NA,NA,NA,58,"Dien Bien","598.856",9.541,2,46,"0,00969%","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"39",51,"vn-331","Đồng Nai",333,80,NA,NA,333,"Dong Nai","3.097.107",5.906,4,NA,"0,01075%","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"40",20,"26","Vĩnh Phúc",102,1,NA,NA,102,"Vinh Phuc","1.154.154",1.235,3,NA,"0,00884%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"41",66,"20","Lạng Sơn",112,NA,NA,NA,112,"Lang Son","781.655",8.31,3,8,"0,01433%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"42",29,"51","Quảng Ngãi",179,NA,NA,NA,179,"Quang Ngai","1.231.697",5.135,3,NA,"0,01453%","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"43",30,"42","Hà Tĩnh",124,NA,NA,NA,124,"Ha Tinh","1.288.866",5.991,3,3,"","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"44",54,"40","Nghệ An",134,1,NA,NA,134,"Nghe An","3.327.791",16.494,3,NA,"0,00403%","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"45",14,"33","Hưng Yên",181,NA,NA,NA,181,"Hung Yen","1.252.731",930,3,NA,"0,01445%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"46",15,"87","Đồng Tháp",740,91,NA,NA,740,"Dong Thap","1.599.504",3.384,5,NA,"","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"47",33,"82","Tiền Giang",585,115,NA,NA,585,"Tien Giang","1.764.185",2.511,5,NA,"","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"48",36,"80","Long An",523,NA,NA,NA,523,"Long An","1.688.547",4.49,5,NA,"0,03097%","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"49",1,"48","Đà Nẵng",274,NA,NA,NA,274,"Da Nang","1.134.310",1.285,4,NA,"0,02416%","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"50",13,"54","Phú Yên",518,26,NA,NA,518,"Phu Yen","961.152",5.023,5,NA,"","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"51",5,"1","Hà Nội",542,1,NA,NA,542,"Ha Noi","8.053.663",3.359,5,NA,"0,00673%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"52",12,"74","Bình Dương",1814,NA,NA,NA,1814,"Binh Duong","2.426.561",2.695,5,NA,"0,07476%","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"53",19,"27","Bắc Ninh",1671,2,NA,NA,1671,"Bac Ninh","1.368.840",823,5,NA,"0,12207%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"54",65,"24","Bắc Giang",5725,2,NA,NA,5725,"Bac Giang","1.803.950",3.851,5,NA,"0,31736%","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"55",4,"79","TP HCM",18210,1637,NA,NA,18210,"TP HCM","8.993.082",2.061,5,NA,"0,20249%","Nam",2025,"7,471918076",NA,"",NA,NA,NA,NA,NA,NA,NA
"56",45,"96","Cà Mau",15,NA,NA,NA,15,"Ca Mau","1.194.476",5.295,1,3,"","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"57",52,"93","Hậu Giang",22,NA,NA,NA,22,"Hau Giang","733.017",1.622,1,2,"","Nam",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"58",56,"67","Đăk Nông",3,NA,NA,NA,3,"Dak Nong","622.168",6.509,1,2,"","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"59",31,"4","Cao Bằng",NA,NA,NA,NA,NA,"Cao Bang","530.341",6.7,NA,NA,"","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"60",43,"2","Hà Giang",NA,NA,NA,NA,NA,"Ha Giang","854.679",7.93,NA,NA,"","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"61",57,"62","Kon Tum",NA,NA,NA,NA,NA,"Kon Tum","540.438",9.674,NA,NA,"","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"62",41,"12","Lai Châu",NA,NA,NA,NA,NA,"Lai Chau","460.196",9.069,NA,NA,"","Bắc",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"63",55,"44","Quảng Bình",NA,NA,NA,NA,NA,"Quang Binh","895.430",8.065,NA,NA,"","Trung",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"64",46,"vn-3655","Highcharts Color 0",NA,NA,NA,NA,NA,"","",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"65",62,"hs01","Hoàng Sa",NA,NA,NA,NA,NA,"Hoang Sa","",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"66",63,"truongsa","Trường Sa",NA,NA,NA,NA,NA,"Truong Sa","",NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
